dealname,lead_owner,support_owner,broad_category_updated,subcategory,fund,createdate,recommendation
Owens Corning - Gelsight,Ittie Rehani,,,,Fund I,2024-07-02T17:32:03.457Z,"['Materials Analytics & Software', 'Optics-enabled Industrial Instrumentation & Tools', 'Structural Engineering Materials']"
Owens Corning - Opscura,Ittie Rehani,,,,Fund I,2024-07-02T17:32:33.447Z,"['Industrial Cybersecurity', 'Operational Technology Security', 'Infrastructure Protection']"
Canaery - BioFlyte,Whitney Haring-Smith,,,,Fund I,2024-07-02T17:36:30.119Z,"['Biosecurity', 'Biodefense', 'Environmental Monitoring']"
PivotLabs - Opscura,Whitney Haring-Smith,,,,Fund I,2024-07-02T18:25:01.732Z,"['Cybersecurity', 'Industrial Automation & Analytics', 'Healthcare Software & Analytics']"
2508 Biosciences (June 2024),Whitney Haring-Smith,,Life Sciences & Healthcare,Neurology/Neuroscience,Fund III,2024-07-02T20:54:06.816Z,"['Traumatic Brain Injury Therapeutics', 'Neuroinflammation Treatment', 'Intranasal Drug Delivery']"
BLOCKS,Wilson Poole,Jenna Abelli,Manufacturing,Additive Manufacturing,Fund III,2024-07-05T16:04:32.671Z,"['Additive Manufacturing', 'Robotics & Automation', 'Materials Manufacturing Platform']"
ReGen RBR Inc (July 2024),Josh Stiling,Jenna Abelli,Energy & Clean Technology,Water & Waste,Fund III,2024-07-07T03:52:35.486Z,"['Water Treatment Technologies', 'Waste Management Solutions', 'Environmental Sustainability']"
IH International Advisors Ltd - Critical Tech Credit,Whitney Haring-Smith,,,,Critical Tech Credit (EBITDA positive),2024-07-08T15:13:27.946Z,"['Financial Services', 'Investment Management', 'Technology Consulting']"
IH International Advisors Ltd - Fund IV,Ittie Rehani,,,,Fund IV,2024-07-08T15:31:39.264Z,"['Private Equity Investment', 'Global Investment Strategy', 'Venture Capital Allocation']"
Washington State Investment Board - Critical Tech Credit,Ittie Rehani,,,,Critical Tech Credit (EBITDA positive),2024-07-08T16:06:07.940Z,"['Investment Strategy', 'Financial Services', 'Tech Credit']"
Advantage Capital - XGS,Ittie Rehani,,,,Fund I,2024-07-08T19:29:51.435Z,"['Advanced Materials', 'Industrial Process Optimization', 'Nanotechnology Applications']"
Jesse Wolfson - 6k,Ittie Rehani,,,,Fund I,2024-07-08T20:04:36.961Z,"['Subcategory 1', 'Subcategory 2', 'Subcategory 3']"
Chevron Technology Ventures - Opscura,Whitney Haring-Smith,,,,Fund I,2024-07-08T20:07:35.718Z,"['Industrial Cybersecurity', 'Operational Technology Security', 'Energy Infrastructure Security']"
TernaSpA - Opscura,Whitney Haring-Smith,,,,Fund I,2024-07-08T20:08:39.219Z,"['Industrial Automation & Analytics', 'Cybersecurity', 'Enterprise Analytics Software']"
Singapore Technologies Engineering Ltd - Opscura,Whitney Haring-Smith,,,,Fund I,2024-07-08T20:09:32.976Z,"['Cybersecurity', 'Industrial Automation & Analytics', 'Communications & Networking']"
Metlife - Encharge,Whitney Haring-Smith,,,,Fund I,2024-07-08T20:26:28.489Z,"['Investment Opportunities', 'Co-Investment Opportunities', 'Fund Subscription']"
Metlife - South8,Whitney Haring-Smith,,,,Fund I,2024-07-08T20:26:56.042Z,"['Co-investment Opportunities', 'North American Tech Leaders Fund', 'Direct Investment Opportunities']"
